"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:40:00+01:00";21.82499933242798
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T16:50:00+01:00";22.037500143051147
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:00:00+01:00";21.837499380111694
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:10:00+01:00";21.799999237060547
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:20:00+01:00";21.687500715255737
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:30:00+01:00";21.566666920979817
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:40:00+01:00";21.487499952316284
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T17:50:00+01:00";21.299999872843426
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:00:00+01:00";21.06250023841858
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:10:00+01:00";20.822221544053818
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:20:00+01:00";20.887499570846558
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:30:00+01:00";20.877777311537002
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:40:00+01:00";20.837499380111694
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T18:50:00+01:00";21.24444431728787
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:00:00+01:00";21.65000057220459
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:10:00+01:00";21.700000762939453
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:20:00+01:00";21.700000762939453
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:30:00+01:00";21.687500715255737
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:40:00+01:00";21.577778074476456
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T19:50:00+01:00";21.5
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T20:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T20:10:00+01:00";null
